Unnamed: 0,URLS,Race,Gender,Disability,SOGI,Military,Age,Family,Religion,Company_Name
44,https://pepsico.com/our-impact/diversity-equity-and-inclusion,3.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,PepsiCo
45,https://www.intel.com/content/www/us/en/diversity/diversity-at-intel.html,10.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,Intel
46,https://us.pg.com/equality-and-inclusion/,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Procter & Gamble
47,https://www.ge.com/about-us/diversity,54.0,5.0,1.0,4.0,9.0,1.0,1.0,0.0,General Electric
48,https://www.ibm.com/impact/be-equal/,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,International Business Machines
49,https://www.metlife.com/about-us/global-diversity-equity-inclusion/,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,MetLife
50,https://www.prudential.com/links/about/diversity-inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prudential Financial
51,https://www.albertsonscompanies.com/our-impact/people/diversity-equity-inclusion/default.aspx,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,Albertsons
52,https://impact.disney.com/diversity-inclusion/,7.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,Walt Disney
53,https://www.energytransfer.com/corporate-responsibility/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energy Transfer
54,https://www.lockheedmartin.com/en-us/who-we-are/global-diversity-inclusion.html,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,Lockheed Martin
55,https://www.freddiemac.com/about/diversity,10.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,Freddie Mac
56,https://www.goldmansachs.com/our-commitments/diversity-and-inclusion/,22.0,20.0,1.0,4.0,1.0,6.0,2.0,1.0,Goldman Sachs Group
57,https://www.rtx.com/social-impact/diversity-equity-inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raytheon Technologies
58,https://www.hp.com/us-en/hp-information/about-hp/diversity.html,6.0,9.0,5.0,1.0,5.0,2.0,6.0,0.0,HP
59,https://www.boeing.com/principles/diversity-and-inclusion/,8.0,0.0,12.0,3.0,7.0,5.0,8.0,0.0,Boeing
60,https://www.morganstanley.com/about-us/diversity,8.0,4.0,0.0,2.0,0.0,4.0,0.0,1.0,Morgan Stanley
61,https://hcahealthcare.com/about/diversity-equity-and-inclusion/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HCA Healthcare
62,https://www.abbvie.com/our-company/equality-inclusion-diversity.html,5.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,AbbVie
63,https://corporate.dow.com/en-us/about/company/beliefs-and-culture/inclusion-and-diversity.html,14.0,5.0,2.0,5.0,1.0,8.0,0.0,1.0,Dow
64,https://www.tesla.com/sites/default/files/downloads/2020-DEI-impact-report.pdf,43.0,10.0,3.0,4.0,7.0,3.0,2.0,0.0,Tesla
65,https://www.allstatesustainability.com/people/inclusive-diversity-and-equity/,26.0,10.0,4.0,2.0,4.0,8.0,1.0,1.0,Allstate
