,URLS
102,https://www.travelers.com/about-travelers/diversity
103,https://careers.arrow.com/us/en/diversity-equality-and-inclusion
104,https://www.honeywell.com/us/en/company/inclusion-and-diversity
105,https://careers.dollargeneral.com/diversity-inclusion/
106,https://www.qualcomm.com/company/corporate-responsibility/our-people/diversity-equity-and-inclusion
107,https://www.capitalone.com/about/diversity
108,https://www.synnexcorp.com/careers/diversity-equity-inclusion/
109,https://www.pmi.com/inclusion-diversity
110,https://www.wfscorp.com/Careers/Diversity-Equity-and-Inclusion
111,https://investors.pfgc.com/press-releases/press-release-details/2021/Performance-Food-Group-Company-Announces-Addition-of-Vice-President-of-Diversity--Inclusion/default.aspx
112,https://www.delta.com/us/en/about-delta/diversity
113,https://www.aa.com/i18n/customer-service/about-us/diversity/inclusion-and-diversity.jsp
114,https://jobs.netflix.com/inclusion
115,https://www.paramount.com/inclusion-2021/introduction
116,https://www.usfoods.com/about-us-foods/diversity-and-inclusion.html
117,https://www.danaher.com/who-we-are/diversity-inclusion
118,https://www.jabil.com/about-us/culture/we-are-jabil/diversity-equity-inclusion.html
119,https://stories.starbucks.com/stories/inclusion-diversity/
120,https://www.mondelezinternational.com/Snacking-Made-Right/Diversity-Equity-and-Inclusion
121,https://www.lilly.com/impact/empowering-a-diverse-workforce
122,https://www.hpe.com/us/en/about/diversity.html
123,https://investor.drhorton.com/~/media/Files/D/D-R-Horton-IR/documents/human-rights-policy-final.pdf
124,https://investors.molinahealthcare.com/static-files/0a91ce04-da45-47b3-add2-9cad6ba25a5e
125,https://www.cbre.com/careers/diversity-equity-and-inclusion
126,https://www.micron.com/about/our-commitment/empowering-people/diversity-equality-and-inclusion
127,https://www.broadcom.com/company/citizenship/workforce
128,https://www.gilead.com/purpose/inclusion-and-diversity
129,https://www.pbfenergy.com/wp-content/uploads/2022/03/146-580-Brochures-Barbara-Feather-GettoKnowUs_V3.pdf
130,https://investors.lennar.com/~/media/Files/L/Lennar-IR-V3/documents/governance-documents/lennar-2022-social-responsibility-report.pdf
131,https://www.betterforall.unfi.com/social/diversity-inclusion.html
132,https://www.nrg.com/about/diversity-equity-and-inclusion.html
133,https://www.nvidia.com/en-us/about-nvidia/careers/diversity-and-inclusion/
134,https://www.oxy.com/careers/life-at-oxy/diversity/
135,https://www.salesforce.com/company/equality/
136,https://corporate.dollartree.com/values/equality-belonging-dei
137,https://www.kkr.com/our-firm/life-kkr/commitment-diversity
138,https://www.kraftheinzcompany.com/diversity-inclusion.html
139,https://www.amgen.com/responsibility/healthy-society/diversity-and-inclusion
140,https://www.autonation.com/our-purpose/one-autonation
